torax longevidad condicion
0.68 37 G1
0.68 49 G1
0.72 46 G1
0.72 63 G1
0.76 39 G1
0.76 46 G1
0.76 56 G1
0.76 63 G1
0.76 65 G1
0.80 56 G1
0.80 65 G1
0.80 70 G1
0.84 63 G1
0.84 65 G1
0.84 70 G1
0.84 77 G1
0.84 81 G1
0.84 86 G1
0.88 70 G1
0.88 70 G1
0.92 77 G1
0.92 77 G1
0.92 81 G1
0.94 77 G1
0.64 40 G2
0.70 37 G2
0.72 44 G2
0.72 47 G2
0.72 47 G2
0.76 47 G2
0.78 68 G2
0.80 47 G2
0.84 54 G2
0.84 61 G2
0.84 71 G2
0.84 75 G2
0.84 89 G2
0.88 58 G2
0.88 59 G2
0.88 62 G2
0.88 79 G2
0.88 96 G2
0.92 58 G2
0.92 62 G2
0.92 70 G2
0.92 72 G2
0.92 75 G2
0.92 96 G2
0.94 75 G2
0.64 46 G3
0.68 42 G3
0.72 65 G3
0.76 46 G3
0.76 58 G3
0.80 42 G3
0.80 48 G3
0.80 58 G3
0.82 50 G3
0.82 80 G3
0.84 63 G3
0.84 65 G3
0.84 70 G3
0.84 70 G3
0.84 72 G3
0.84 97 G3
0.88 46 G3
0.88 56 G3
0.88 70 G3
0.88 70 G3
0.88 72 G3
0.88 76 G3
0.88 90 G3
0.92 76 G3
0.92 92 G3
0.68 21 G4
0.68 40 G4
0.72 44 G4
0.76 54 G4
0.78 36 G4
0.80 40 G4
0.80 56 G4
0.80 60 G4
0.84 48 G4
0.84 53 G4
0.84 60 G4
0.84 60 G4
0.84 65 G4
0.84 68 G4
0.88 60 G4
0.88 81 G4
0.88 81 G4
0.90 48 G4
0.90 48 G4
0.90 56 G4
0.90 68 G4
0.90 75 G4
0.90 81 G4
0.92 48 G4
0.92 68 G4
0.64 16 G5
0.64 19 G5
0.68 19 G5
0.72 32 G5
0.72 33 G5
0.74 33 G5
0.76 30 G5
0.76 42 G5
0.76 42 G5
0.78 33 G5
0.80 26 G5
0.80 30 G5
0.82 40 G5
0.82 54 G5
0.84 34 G5
0.84 34 G5
0.84 47 G5
0.84 47 G5
0.88 42 G5
0.88 47 G5
0.88 54 G5
0.88 54 G5
0.88 56 G5
0.88 60 G5
0.92 44 G5
